,0,1
0,3,3740977
1,3,180638
2,3,5293615
3,3,402438
4,18,2523323
5,24,2698206
6,40,3815113
7,40,134883
8,40,889163
9,40,4292087
10,40,3291810
11,40,2999027
12,40,1077015
13,40,134883
14,40,1077015
15,40,3291810
16,40,2999027
17,40,3815113
18,40,3815113
19,40,3184791
20,46,308280
21,46,505064
22,46,505064
23,46,505064
24,46,505064
25,46,505064
26,46,505064
27,47,4948604
28,47,4863834
29,47,4863834
30,53,1648415
31,53,1648415
32,53,5231117
33,53,1648415
34,53,718206
35,53,1648415
36,53,718206
37,53,5231117
38,53,3968113
39,54,3211512
40,54,3211512
41,54,3211512
42,54,5293071
43,59,3211512
44,59,3211512
45,59,3211512
46,59,3211512
47,59,3211512
48,59,5293071
49,59,5293071
50,60,4419948
51,60,2975953
52,60,632239
53,60,2232278
54,60,4419948
55,60,5299090
56,60,3761510
57,60,1830737
58,60,5350829
59,60,4482903
60,60,4197986
61,60,3761510
62,60,4419948
63,60,2232278
64,60,1830737
65,60,2232278
66,60,2232278
67,60,4419948
68,60,3761510
69,60,2975953
70,60,1778978
71,60,2485233
72,60,3419555
73,60,4783409
74,60,1830737
75,60,2505670
76,60,4153866
77,60,3585698
78,60,3585698
79,60,1830737
80,60,4153866
81,60,2505670
82,60,1778978
83,60,2975953
84,60,3761510
85,60,4419948
86,60,2232278
87,60,4482903
88,60,5299090
89,60,5350829
90,60,632239
91,60,5359268
92,60,3761510
93,60,2975953
94,60,1778978
95,60,3761510
96,60,5359268
97,60,5350829
98,60,1766593
99,60,1766593
100,60,2975953
101,60,5299090
102,60,4482903
103,60,2232278
104,60,2505670
105,60,4155652
106,60,2975953
107,60,1766593
108,60,632239
109,60,1830737
110,60,3585698
111,60,3419555
112,60,2485233
113,60,5476792
114,60,4058227
115,60,4627108
116,60,4155652
117,60,4627108
118,60,4155652
119,60,1778978
120,60,4155652
121,60,4155652
122,60,4058227
123,60,5476792
124,60,3585698
125,60,1830737
126,60,632239
127,60,2975953
128,60,1766593
129,60,2232278
130,60,4482903
131,60,5299090
132,60,1778978
133,60,1830737
134,60,4155652
135,60,5299090
136,60,4482903
137,60,2232278
138,60,1766593
139,60,2975953
140,60,3585698
141,60,632239
142,60,5476792
143,60,4058227
144,60,4627108
145,60,2485233
146,60,2505670
147,60,3419555
148,60,3761510
149,60,3761510
150,60,2975953
151,60,3761510
152,60,4197986
153,60,3904460
154,60,5476049
155,74,4830821
156,74,1324899
157,90,2238114
158,90,2238114
159,90,2238114
160,90,2238114
161,90,2238114
162,90,2238114
163,90,2238114
164,90,2238114
165,90,2238114
166,106,3733839
167,106,4463602
168,106,2879359
169,106,3733839
170,106,2879359
171,106,3197072
172,106,3733839
173,106,2879359
174,106,4463602
175,106,2879359
176,106,4463602
177,106,3733839
178,106,3733839
179,106,3197072
180,106,2879359
181,106,3197072
182,106,3733839
183,106,4463602
184,106,2879359
185,106,3733839
186,106,797634
187,106,3197072
188,106,2879359
189,106,3733839
190,114,1753819
191,114,2037473
192,114,4517320
193,114,4517320
194,114,2037473
195,114,1753819
196,114,1753819
197,114,2037473
198,114,4517320
199,114,4517320
200,114,2037473
201,114,1753819
202,114,1753819
203,114,2037473
204,114,4517320
205,114,4517320
206,114,2037473
207,114,1753819
208,114,1753819
209,114,2037473
210,114,4517320
211,114,4517320
212,114,2037473
213,114,1753819
214,114,4517320
215,114,1753819
216,114,2037473
217,128,4558404
218,128,2542589
219,128,2097297
220,128,2511197
221,128,2097297
222,128,4558404
223,128,2511197
224,128,2542589
225,128,2097297
226,128,2542589
227,128,2511197
228,128,4558404
229,128,2542589
230,128,4558404
231,128,2097297
232,128,2873364
233,128,2542589
234,128,2097297
235,128,4558404
236,128,2097297
237,128,2542589
238,128,4558404
239,138,1353233
240,143,2499850
241,143,4977446
242,143,2921778
243,143,2499850
244,143,3770306
245,143,1405452
246,143,2499850
247,143,2921778
248,143,4977446
249,143,1064327
250,143,4977446
251,143,2921778
252,143,2499850
253,143,1405452
254,143,3770306
255,143,3315180
256,143,5581803
257,143,4314604
258,143,3895523
259,143,2832920
260,143,2499850
261,143,4977446
262,143,5566832
263,143,2499850
264,143,4977446
265,143,2832920
266,143,4977446
267,143,1064327
268,143,2499850
269,143,2921778
270,143,3770306
271,143,4533656
272,143,3895523
273,143,2828612
274,143,2499850
275,143,2499850
276,143,308447
277,143,2499850
278,143,4799862
279,150,4339842
280,150,1758205
281,150,1338088
282,150,1982261
283,150,584571
284,150,4339842
285,150,84427
286,150,4998249
287,150,4339842
288,150,575891
289,150,4339842
290,150,2391414
291,150,4339842
292,150,2391414
293,150,4469232
294,150,1771061
295,150,575891
296,150,1771061
297,150,2391414
298,150,4339842
299,150,185335
300,150,4998249
301,150,4339842
302,150,4469232
303,150,5058218
304,150,1982261
305,150,575891
306,150,3002173
307,150,4339842
308,150,2391414
309,150,4214296
310,150,4339842
311,150,2391414
312,150,584571
313,150,637234
314,150,4214296
315,150,575891
316,152,1094151
317,152,1094151
318,152,1094151
319,152,1094151
320,152,1094151
321,152,1094151
322,152,1094151
323,152,1094151
324,152,1094151
325,152,1094151
326,152,1094151
327,152,1094151
328,152,1094151
329,152,1094151
330,156,1078266
331,170,1686371
332,170,1686371
333,170,1686371
334,170,1686371
335,170,1686371
336,170,1686371
337,194,2878180
338,194,2878180
339,194,2878180
340,194,2878180
341,206,1227477
342,211,4987964
343,211,4577755
344,211,4577755
345,211,4987964
346,211,4577755
347,211,4987964
348,211,4577755
349,211,4987964
350,214,639977
351,214,4754667
352,214,4531661
353,216,2065737
354,216,2065737
355,216,2065737
356,216,2065737
357,216,2065737
358,216,2065737
359,216,2065737
360,216,2065737
361,216,2065737
362,216,2065737
363,216,2065737
364,216,2065737
365,216,2065737
366,216,2065737
367,216,2065737
368,216,2065737
369,216,2065737
370,216,2065737
371,216,2065737
372,216,2065737
373,216,2065737
374,216,2065737
375,216,2065737
376,216,2065737
377,216,2065737
378,216,2065737
379,216,2065737
380,216,2065737
381,216,2065737
382,216,2065737
383,216,2065737
384,216,2065737
385,216,2065737
386,216,2065737
387,228,2949336
388,228,2949336
389,228,2949336
390,228,2949336
391,228,2949336
392,228,2949336
393,249,3756431
394,255,1193189
395,255,4589036
396,255,2619572
397,255,4960095
398,255,1881859
399,255,2619572
400,272,2383622
401,272,2007907
402,272,5150654
403,272,5379701
404,272,5379701
405,272,5150654
406,272,4761299
407,272,1497892
408,272,3406316
409,272,1244166
410,272,2867415
411,272,743361
412,272,3144011
413,272,2254318
414,272,2867415
415,272,3406316
416,272,1497892
417,272,5150654
418,272,4761299
419,272,1873489
420,272,3012698
421,272,2344503
422,272,1769708
423,272,3714644
424,272,5038157
425,272,1378525
426,272,5395426
427,272,3107121
428,272,3567353
429,272,648072
430,272,1378525
431,272,1621740
432,272,3573087
433,272,3808830
434,272,4101726
435,272,3808830
436,272,5235805
437,272,1286203
438,272,2857416
439,278,667645
440,278,2199268
441,278,5422411
442,278,2210363
443,278,767706
444,278,2210363
445,278,667645
446,278,2199268
447,278,2210363
448,278,2199268
449,278,667645
450,278,2210363
451,278,667645
452,278,2199268
453,278,667645
454,278,2210363
455,278,2199268
456,278,2199268
457,278,667645
458,278,725615
459,278,2199268
460,278,725615
461,278,667645
462,278,2210363
463,278,767706
464,278,2210363
465,278,667645
466,278,1922301
467,278,2199268
468,278,5422411
469,299,464339
470,299,2120554
471,299,1218627
472,299,1468935
473,299,1931747
474,301,438924
475,301,3769196
476,301,2733385
477,301,3663015
478,301,5392394
479,320,233302
480,328,3211512
481,328,3211512
482,328,3211512
483,328,3211512
484,328,3211512
485,328,5293071
486,328,5293071
487,340,471355
488,340,986035
489,340,5447510
490,340,1474007
491,345,626402
492,345,700333
493,345,3525772
494,345,700333
495,345,778737
496,345,700333
497,345,700333
498,345,700333
499,345,626402
500,345,700333
501,345,626402
502,345,700333
503,345,778737
504,345,3525772
505,345,4339183
506,345,4339183
507,345,4339183
508,345,4339183
509,345,2308536
510,345,700333
511,345,4339183
512,345,700333
513,345,4339183
514,345,700333
515,345,3525772
516,345,4339183
517,345,4339183
518,345,700333
519,345,4339183
520,345,3525772
521,345,2308536
522,345,700333
523,345,2308536
524,345,700333
525,345,4339183
526,345,626402
527,345,700333
528,345,700333
529,345,4339183
530,345,700333
531,345,626402
532,345,700333
533,345,700333
534,345,626402
535,345,2308536
536,345,778737
537,345,700333
538,345,700333
539,353,4798601
540,353,617680
541,353,5569935
542,353,5470275
543,353,1914202
544,356,5048140
545,356,5048140
546,356,1637139
547,356,5048140
548,356,5048140
549,356,1637139
550,356,1637139
551,356,5048140
552,356,5048140
553,356,5048140
554,356,5048140
555,356,5048140
556,356,5048140
557,356,1637139
558,356,1637139
559,356,5048140
560,356,5048140
561,356,1637139
562,356,1637139
563,356,5048140
564,376,451885
565,376,2634280
566,376,4323888
567,384,2783388
568,384,4642852
569,384,4642852
570,384,2783388
571,384,4642852
572,384,4642852
573,384,4642852
574,384,4642852
575,384,4642852
576,384,4642852
577,384,4642852
578,384,4642852
579,384,4642852
580,384,4642852
581,384,4642852
582,407,1848163
583,407,1703649
584,407,605059
585,407,1703649
586,407,1848163
587,407,1848163
588,407,1703649
589,407,2368015
590,407,2368015
591,407,1703649
592,407,1848163
593,407,5383759
594,407,1703649
595,407,2368015
596,407,1703649
597,407,2368015
598,407,1848163
599,415,823754
600,415,3897251
601,415,3897251
602,415,3897251
603,415,3897251
604,415,3897251
605,415,823754
606,415,662176
607,415,3897251
608,415,823754
609,415,662176
610,415,3897251
611,415,823754
612,415,662176
613,415,3897251
614,415,662176
615,415,823754
616,415,823754
617,415,662176
618,415,3897251
619,415,662176
620,415,823754
621,415,3897251
622,424,1637220
623,424,375073
624,424,1264503
625,424,372393
626,424,2550792
627,424,4155596
628,424,3365679
629,424,124758
630,424,3156836
631,424,4057603
632,424,3626158
633,424,5052877
634,424,1027342
635,424,4152684
636,424,752242
637,424,3156836
638,424,2313166
639,424,750682
640,424,3156836
641,424,375073
642,424,4152684
643,424,4057603
644,424,4916848
645,424,5052877
646,424,3156836
647,424,124758
648,424,1637220
649,424,2550792
650,424,372393
651,424,2167401
652,424,1027342
653,424,2313166
654,424,3626158
655,424,752242
656,424,1264503
657,424,1464982
658,424,4234713
659,424,1975851
660,424,2398684
661,424,5607240
662,424,3156836
663,424,5046752
664,424,124758
665,424,5052877
666,424,2167401
667,424,375073
668,424,4057603
669,424,2313166
670,424,2550792
671,424,1264503
672,424,3156836
673,424,4234713
674,424,372393
675,424,752242
676,424,1027342
677,424,3626158
678,424,1464982
679,424,4152684
680,424,750682
681,424,4916848
682,424,3156836
683,424,2321566
684,424,2321566
685,424,5046752
686,424,3156836
687,424,124758
688,424,4057603
689,424,4152684
690,424,1174578
691,424,1637220
692,424,375073
693,424,5081072
694,424,2477500
695,424,3626158
696,424,752242
697,424,1264503
698,424,2167401
699,424,372393
700,424,1027342
701,424,750682
702,424,4234713
703,424,681474
704,424,4155596
705,424,1975851
706,424,2550792
707,426,1217993
708,426,1217993
709,426,1217993
710,426,1217993
711,426,1217993
712,426,1217993
713,426,1217993
714,426,1217993
715,426,1217993
716,426,1217993
717,426,1217993
718,426,1217993
719,430,1134854
720,430,902359
721,430,4834194
722,430,2259804
723,430,3936237
724,433,3999473
725,433,3999473
726,447,2202436
727,447,2202436
728,447,2202436
729,447,2202436
730,447,2202436
731,447,2202436
732,447,2202436
733,447,2202436
734,447,2202436
735,447,2202436
736,447,2202436
737,447,2202436
738,447,2202436
739,447,2202436
740,447,2202436
741,447,2202436
742,447,2202436
743,447,2202436
744,447,2202436
745,447,2202436
746,447,2202436
747,447,2202436
748,447,2202436
749,447,2202436
750,447,2202436
751,447,2202436
752,447,2202436
753,447,2202436
754,447,2202436
755,447,2202436
756,447,2202436
757,447,2202436
758,447,2202436
759,447,2202436
760,447,2202436
761,447,2202436
762,447,2202436
763,447,2202436
764,447,2202436
765,450,3335900
766,450,2110312
767,450,2110312
768,450,4445247
769,450,10522
770,452,3564507
771,463,4353958
772,465,2086114
773,465,1760163
774,465,3249392
775,465,1314055
776,465,3893538
777,465,4873898
778,465,3308155
779,465,1760163
780,465,3452981
781,465,4885769
782,465,3249392
783,465,3249392
784,465,3452981
785,465,4136357
786,465,3249392
787,465,2234529
788,465,1439141
789,465,3249392
790,465,2601451
791,465,652383
792,465,2234529
793,465,3205387
794,465,3249392
795,504,2016903
796,504,1450309
797,504,2016903
798,504,2016903
799,504,4254231
800,504,1450309
801,504,2016903
802,504,1450309
803,504,4254231
804,504,2016903
805,504,2016903
806,504,2016903
807,504,4254231
808,504,2016903
809,504,2016903
810,504,2016903
811,504,4254231
812,504,2016903
813,504,4254231
814,504,1346919
815,504,2016903
816,504,2016903
817,504,2016903
818,504,1450309
819,504,2016903
820,504,2016903
821,507,2545478
822,507,2545478
823,507,2545478
824,507,2545478
825,508,1246690
826,508,560525
827,508,2739521
828,508,560525
829,508,2167661
830,508,560525
831,508,2739521
832,510,3013094
833,510,3013094
834,510,3013094
835,510,3013094
836,510,3013094
837,510,3013094
838,510,3013094
839,510,3013094
840,510,3013094
841,510,3013094
842,510,3013094
843,510,3013094
844,510,3013094
845,510,3013094
846,512,278667
847,512,278667
848,512,278667
849,512,2224526
850,514,805770
851,514,805770
852,514,805770
853,514,805770
854,514,805770
855,514,805770
856,514,805770
857,514,805770
858,514,805770
859,514,805770
860,514,4820652
861,514,805770
862,514,805770
863,514,805770
864,514,805770
865,514,1484693
866,514,841067
867,514,805770
868,514,805770
869,514,841067
870,514,805770
871,514,3198006
872,514,3198006
873,514,805770
874,514,841067
875,514,3198006
876,520,1487765
877,520,2789544
878,521,2381117
879,521,1299764
880,521,1303327
881,521,4810147
882,521,799131
883,521,3920231
884,521,4877545
885,521,5258431
886,521,2172268
887,521,3478502
888,521,5107884
889,521,799131
890,521,1303327
891,521,2381117
892,521,3920231
893,521,2643302
894,521,2665327
895,521,2562131
896,521,1299764
897,521,1224729
898,521,3478502
899,521,5258431
900,521,4877545
901,521,2381117
902,521,4810147
903,521,3738621
904,521,1299764
905,528,2976028
906,528,2976028
907,540,5162431
908,540,5162431
909,540,5162431
910,548,4821258
911,556,582649
912,556,160130
913,556,5516133
914,556,582649
915,556,5516133
916,556,160130
917,556,582649
918,556,5516133
919,556,160130
920,556,582649
921,556,5516133
922,556,160130
923,556,5516133
924,556,160130
925,556,582649
926,556,2990733
927,556,582649
928,556,5516133
929,556,1242563
930,556,160130
931,557,2631862
932,557,2631862
933,557,2631862
934,557,2631862
935,557,3076469
936,557,2631862
937,557,3076469
938,557,2631862
939,557,2631862
940,557,2631862
941,557,2631862
942,557,3076469
943,557,2631862
944,557,2631862
945,557,2631862
946,557,2631862
947,557,2631862
948,557,2631862
949,563,2632420
950,563,5599411
951,567,3224401
952,571,4143823
953,571,4143823
954,571,4143823
955,571,4143823
956,571,4143823
957,571,4143823
958,571,4143823
